Your, Name,"Ksenia Burova (kburova), CS 420",,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,-8999515360070250000,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,243343423434,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,3,0.992,0.923076923,1.504550979,1.76049503,0,"Very small transient period. There are two states that dominate in this automaton, red(4) and yeallow(3). Picture is very chaotic, there are no periodic structures or particular pattern.",2
1,3,3,0.912,0.846153846,1.771393435,1.884313528,0,"Very small transient period, slightly longer than on previous picture. We can observe a little bit more of green (2). There are two states that dominate in this automaton, red(4) and yeallow(3). Picture is very chaotic, there are no periodic structures or particular pattern.",2
2,6,3,0.76,0.769230769,1.90984758,1.922023143,0,"Very small transient period,but even longer than on previous picture. We can observe more of green (2) and some pink(0). There are two states that dominate in this automaton, red(4) and yeallow(3). Picture is very chaotic, there are no periodic structures or particular pattern.",2
3,8,2,0.64,0.692307692,1.672864309,1.826245258,0,"There are 3 states dominating here: pink(0), yellow(3) and red(4). There is a short transient period with some sort of periodic structures. After transient period, we see periodic structure (spiral) that seems to cycle endlessly. ",0
4,12,2,0.632,0.615384615,1.673601282,1.826245258,0,"Very similar observation to previous one. But transient period is much shorter, and there are more periodic structures that intersect edlessly. There is a clear pattern.",0
5,7,1,0.488,0.538461538,1.601243939,1.775858948,0,"There is a short transient period, and then cell turns into the same state, pink(0), and never changes.",0
6,9,1,0.408,0.461538462,1.473625849,1.669180337,0,Same,0
7,4,1,0.288,0.384615385,1.101330139,1.488525295,0,Same,0
8,10,1,0.24,0.307692308,1.016303022,1.352030102,0,Same,0
9,11,1,0.216,0.230769231,0.861499867,0.991264261,0,Same,0
10,2,1,0.168,0.153846154,0.752510139,0.773228349,0,Same,0
11,5,1,0.024,0.076923077,0.163345543,0.391243564,0,Same,0
12,1,1,0,0,0,0,0,Same,0
,,,,,,,,,
,,,,,,,,,
Experiment #:,1,,,,,,,,
Rule:,343243423241,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,3,0.992,0.923076923,1.687960116,2.10390991,0,"There are 3 states that dominate in this automaton, red(4), green(2) and yeallow(3). There is a litle bit of blue (1) as well. Picture is very chaotic, there are no periodic structures or particular pattern.",2
1,10,4,0.944,0.846153846,1.842032897,2.16197818,0,"We can observe all colors here. Picture is very complicated. At some point it seems very chaotic. But at the same time, pattern changes from homogeneous structures to periodic diogonal-spiral-like ones. ",1
