 Name:, Ksenia, Burova, CS420 ,,,,,,,,,,,,,,,,
 Number of experiments:,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 Experiment #,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 1,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-1,R1=1,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,,
2,0,0,0,,,,,,,,,,,,,,,,
3,0,0,0,,,,,,,,,,,,,,,,
4,0,0,0,,,,,,,,,,,,,,,,
5,0,0,0,,,,,,,,,,,,,,,,
6,0,0,0,,,,,,,,,,,,,,,,
7,0,0,0,,,,,,,,,,,,,,,,
8,0,0,0,,,,,,,,,,,,,,,,
9,0,0,0,,,,,,,,,,,,,,,,
10,0,0,0,,,,,,,,,,,,,,,,
11,0,0,0,,,,,,,,,,,,,,,,
12,0,0,0,,,,,,,,,,,,,,,,
13,0,0,0,,,,,,,,,,,,,,,,
14,0,0,0,,,,,,,,,,,,,,,,
Entropy(H):,0,Lambda:,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 2,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-1,R1=3,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,,
2,0,0,0,,,,,,,,,,,,,,,,
3,0,0,0,,,,,,,,,,,,,,,,
4,0,0,0,,,,,,,,,,,,,,,,
5,0,0,0,,,,,,,,,,,,,,,,
6,0,0,0,,,,,,,,,,,,,,,,
7,0,0,0,,,,,,,,,,,,,,,,
8,0,0,0,,,,,,,,,,,,,,,,
9,0,0,0,,,,,,,,,,,,,,,,
10,0,0,0,,,,,,,,,,,,,,,,
11,0,0,0,,,,,,,,,,,,,,,,
12,0,0,0,,,,,,,,,,,,,,,,
13,0,0,0,,,,,,,,,,,,,,,,
14,0,0,0,,,,,,,,,,,,,,,,
Entropy(H):,0,Lambda:,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Combination 3,,,,,,,,,,,,,,,,,,,
J1=1.0,J2=0.0,H=-2,R1=6,R2=15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Distance(L), Correlation(p), Joint Entropy(H_l), MutualInfo(I_l),,,,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,,,,
2,0,0,0,,,,,,,,,,,,,,,,
3,0,0,0,,,,,,,,,,,,,,,,
4,0,0,0,,,,,,,,,,,,,,,,
5,0,0,0,,,,,,,,,,,,,,,,
6,0,0,0,,,,,,,,,,,,,,,,
7,0,0,0,,,,,,,,,,,,,,,,
8,0,0,0,,,,,,,,,,,,,,,,
9,0,0,0,,,,,,,,,,,,,,,,
10,0,0,0,,,,,,,,,,,,,,,,
