 Name:, Ksenia, Burova, CS420 

 p #, Num of Stable, Fraction of Unstable
1,1.0,0.0
2,2.0,0.0
3,3.0,0.0
4,4.0,0.0
5,5.0,0.0
6,6.0,0.0
7,7.0,0.0
8,7.99,0.00125
9,8.98,0.002222222222222223
10,9.91,0.008999999999999998
11,10.82,0.016363636363636365
12,11.71,0.02416666666666667
13,12.49,0.0392307692307692
14,13.19,0.05785714285714285
15,13.77,0.08199999999999996
16,14.28,0.1075
17,14.69,0.13588235294117637
18,15.02,0.16555555555555543
19,15.29,0.19526315789473686
20,15.25,0.23750000000000004
21,15.39,0.26714285714285685
22,15.44,0.29818181818181816
23,15.24,0.33739130434782616
24,14.87,0.3804166666666666
25,14.9,0.4039999999999999
26,14.84,0.42923076923076897
27,14.61,0.45888888888888885
28,14.3,0.4892857142857144
29,14.28,0.5075862068965514
30,14.05,0.5316666666666666
31,13.65,0.5596774193548387
32,13.45,0.5796875
33,13.22,0.5993939393939395
34,13.04,0.6164705882352943
35,12.91,0.6311428571428571
36,12.78,0.6449999999999999
37,12.49,0.6624324324324323
38,12.22,0.6784210526315788
39,11.79,0.6976923076923075
40,11.82,0.7045000000000001
41,11.62,0.7165853658536586
42,11.63,0.723095238095238
43,11.22,0.7390697674418605
44,11.2,0.7454545454545455
45,11.23,0.7504444444444442
46,11.04,0.7599999999999997
47,10.74,0.7714893617021287
48,10.61,0.778958333333333
49,10.36,0.788571428571428
50,9.89,0.8022
