Project 4, CS420,,
 Artificial, Neural Nets,,
Completed by:, Ksenia Burova,,
,,,
,,,
Epoch #, RMSE,,
0,0.35395055,,
1,0.353869529,,
2,0.353915313,,
3,0.354013531,,
4,0.35410323,,
5,0.354171255,,
6,0.354224942,,
7,0.354275733,,
8,0.354334258,,
9,0.354404916,,
10,0.354450648,,
11,0.35414589,,
12,0.351431852,,
13,0.342194962,,
14,0.333466983,,
15,0.328208424,,
16,0.323913751,,
17,0.318004294,,
18,0.294506272,,
19,0.192829518,,
20,0.11741699,,
21,0.085887283,,
22,0.069743816,,
23,0.059844566,,
24,0.053061095,,
25,0.048067043,,
26,0.044204261,,
27,0.041107373,,
28,0.038556127,,
29,0.036409194,,
30,0.034571344,,
31,0.032975841,,
32,0.031574392,,
33,0.030331097,,
34,0.029218655,,
35,0.028215898,,
36,0.027306129,,
37,0.026475986,,
38,0.02571463,,
39,0.02501317,,
40,0.024364236,,
41,0.023761659,,
42,0.023200234,,
43,0.022675533,,
44,0.022183765,,
45,0.021721661,,
46,0.021286387,,
47,0.020875472,,
48,0.020486749,,
49,0.020118312,,
50,0.019768475,,
51,0.019435739,,
52,0.019118771,,
53,0.018816375,,
54,0.018527479,,
55,0.018251119,,
56,0.017986422,,
57,0.017732599,,
58,0.017488932,,
59,0.017254768,,
60,0.017029511,,
61,0.016812616,,
62,0.016603583,,
63,0.016401953,,
64,0.016207303,,
65,0.016019242,,
66,0.015837412,,
67,0.015661478,,
68,0.015491132,,
69,0.015326086,,
70,0.015166074,,
71,0.015010847,,
72,0.014860173,,
73,0.014713837,,
74,0.014571636,,
75,0.01443338,,
76,0.014298891,,
77,0.014168004,,
78,0.014040562,,
79,0.013916417,,
80,0.013795432,,
81,0.013677474,,
82,0.013562422,,
83,0.013450158,,
84,0.013340573,,
85,0.013233563,,
86,0.01312903,,
87,0.013026879,,
88,0.012927024,,
89,0.012829379,,
90,0.012733864,,
91,0.012640406,,
92,0.01254893,,
93,0.012459368,,
94,0.012371656,,
95,0.012285731,,
96,0.012201533,,
97,0.012119007,,
98,0.012038096,,
99,0.011958751,,
100,0.011880922,,
101,0.011804561,,
102,0.011729622,,
103,0.011656064,,
104,0.011583844,,
105,0.011512922,,
106,0.011443261,,
107,0.011374823,,
108,0.011307574,,
109,0.011241479,,
110,0.011176507,,
111,0.011112626,,
112,0.011049806,,
113,0.010988019,,
114,0.010927236,,
115,0.010867431,,
116,0.010808578,,
117,0.010750652,,
118,0.01069363,,
119,0.010637488,,
120,0.010582204,,
121,0.010527756,,
122,0.010474124,,
123,0.010421288,,
124,0.010369229,,
125,0.010317927,,
126,0.010267364,,
127,0.010217524,,
128,0.010168389,,
129,0.010119943,,
130,0.01007217,,
131,0.010025055,,
132,0.009978582,,
133,0.009932738,,
134,0.009887509,,
135,0.00984288,,
136,0.009798839,,
137,0.009755374,,
138,0.009712471,,
139,0.009670119,,
140,0.009628307,,
141,0.009587022,,
142,0.009546255,,
143,0.009505994,,
144,0.009466229,,
145,0.00942695,,
146,0.009388148,,
147,0.009349812,,
148,0.009311933,,
149,0.009274504,,
150,0.009237514,,
151,0.009200956,,
152,0.00916482,,
153,0.0091291,,
154,0.009093787,,
155,0.009058874,,
156,0.009024353,,
157,0.008990216,,
158,0.008956458,,
159,0.008923071,,
160,0.008890047,,
161,0.008857382,,
162,0.008825068,,
163,0.008793099,,
164,0.008761469,,
165,0.008730173,,
166,0.008699203,,
167,0.008668556,,
168,0.008638225,,
169,0.008608205,,
170,0.00857849,,
171,0.008549076,,
172,0.008519957,,
173,0.008491129,,
174,0.008462587,,
175,0.008434327,,
176,0.008406342,,
177,0.00837863,,
178,0.008351186,,
179,0.008324006,,
180,0.008297084,,
181,0.008270418,,
182,0.008244004,,
183,0.008217837,,
184,0.008191913,,
185,0.00816623,,
186,0.008140782,,
187,0.008115568,,
188,0.008090582,,
189,0.008065822,,
190,0.008041285,,
191,0.008016966,,
192,0.007992864,,
193,0.007968974,,
194,0.007945294,,
195,0.00792182,,
196,0.00789855,,
197,0.00787548,,
198,0.007852609,,
199,0.007829932,,
200,0.007807448,,
201,0.007785153,,
202,0.007763045,,
203,0.007741122,,
204,0.007719381,,
205,0.007697819,,
206,0.007676433,,
207,0.007655223,,
208,0.007634184,,
209,0.007613316,,
210,0.007592615,,
211,0.00757208,,
212,0.007551707,,
213,0.007531496,,
214,0.007511444,,
215,0.007491549,,
216,0.007471808,,
217,0.007452221,,
218,0.007432784,,
219,0.007413497,,
220,0.007394356,,
221,0.007375361,,
222,0.00735651,,
223,0.0073378,,
224,0.00731923,,
225,0.007300798,,
226,0.007282503,,
227,0.007264343,,
228,0.007246316,,
229,0.00722842,,
230,0.007210655,,
231,0.007193017,,
232,0.007175507,,
233,0.007158123,,
234,0.007140862,,
235,0.007123723,,
236,0.007106706,,
237,0.007089808,,
238,0.007073029,,
239,0.007056366,,
240,0.007039819,,
241,0.007023386,,
242,0.007007066,,
243,0.006990858,,
244,0.00697476,,
245,0.006958771,,
246,0.00694289,,
247,0.006927116,,
248,0.006911447,,
249,0.006895883,,
250,0.006880422,,
251,0.006865062,,
252,0.006849804,,
253,0.006834646,,
254,0.006819587,,
255,0.006804625,,
256,0.00678976,,
257,0.00677499,,
258,0.006760316,,
259,0.006745734,,
260,0.006731246,,
261,0.006716849,,
262,0.006702543,,
263,0.006688326,,
264,0.006674199,,
265,0.006660159,,
266,0.006646207,,
267,0.00663234,,
268,0.006618559,,
269,0.006604862,,
270,0.006591249,,
271,0.006577718,,
272,0.006564269,,
273,0.006550902,,
274,0.006537614,,
275,0.006524406,,
276,0.006511277,,
277,0.006498225,,
278,0.006485251,,
279,0.006472353,,
280,0.00645953,,
281,0.006446783,,
282,0.006434109,,
283,0.006421509,,
284,0.006408982,,
285,0.006396527,,
286,0.006384143,,
287,0.00637183,,
288,0.006359587,,
289,0.006347414,,
290,0.006335309,,
291,0.006323272,,
292,0.006311302,,
293,0.0062994,,
294,0.006287563,,
295,0.006275793,,
296,0.006264087,,
297,0.006252445,,
298,0.006240868,,
299,0.006229353,,
300,0.006217902,,
301,0.006206512,,
302,0.006195184,,
303,0.006183917,,
304,0.006172711,,
305,0.006161564,,
306,0.006150477,,
307,0.006139448,,
308,0.006128478,,
309,0.006117566,,
310,0.006106711,,
311,0.006095913,,
312,0.006085171,,
313,0.006074486,,
314,0.006063855,,
315,0.00605328,,
316,0.006042758,,
317,0.006032291,,
318,0.006021878,,
319,0.006011517,,
320,0.006001209,,
321,0.005990953,,
322,0.005980749,,
323,0.005970597,,
324,0.005960495,,
325,0.005950443,,
326,0.005940442,,
327,0.00593049,,
328,0.005920588,,
329,0.005910734,,
330,0.005900929,,
331,0.005891171,,
332,0.005881462,,
333,0.005871799,,
334,0.005862184,,
335,0.005852615,,
336,0.005843092,,
337,0.005833615,,
338,0.005824183,,
339,0.005814796,,
340,0.005805454,,
341,0.005796157,,
342,0.005786903,,
343,0.005777693,,
344,0.005768526,,
345,0.005759402,,
346,0.005750321,,
347,0.005741282,,
348,0.005732285,,
349,0.00572333,,
350,0.005714416,,
351,0.005705543,,
352,0.005696711,,
353,0.005687919,,
354,0.005679167,,
355,0.005670455,,
356,0.005661783,,
357,0.005653149,,
358,0.005644555,,
359,0.005635999,,
360,0.005627481,,
361,0.005619002,,
362,0.00561056,,
363,0.005602156,,
364,0.005593789,,
365,0.005585459,,
366,0.005577165,,
367,0.005568908,,
368,0.005560687,,
369,0.005552502,,
370,0.005544353,,
371,0.005536239,,
372,0.00552816,,
373,0.005520115,,
374,0.005512106,,
375,0.00550413,,
376,0.005496189,,
377,0.005488282,,
378,0.005480408,,
379,0.005472568,,
380,0.005464761,,
381,0.005456987,,
382,0.005449245,,
383,0.005441536,,
384,0.00543386,,
385,0.005426215,,
386,0.005418602,,
387,0.00541102,,
388,0.00540347,,
389,0.005395951,,
390,0.005388463,,
391,0.005381006,,
392,0.00537358,,
393,0.005366183,,
394,0.005358817,,
395,0.00535148,,
396,0.005344174,,
397,0.005336896,,
398,0.005329649,,
399,0.00532243,,
400,0.00531524,,
401,0.005308079,,
402,0.005300946,,
403,0.005293842,,
404,0.005286766,,
405,0.005279717,,
406,0.005272697,,
407,0.005265704,,
408,0.005258739,,
409,0.005251801,,
410,0.00524489,,
411,0.005238006,,
412,0.005231148,,
413,0.005224317,,
414,0.005217513,,
415,0.005210735,,
416,0.005203982,,
417,0.005197256,,
418,0.005190556,,
419,0.00518388,,
420,0.005177231,,
421,0.005170606,,
422,0.005164007,,
423,0.005157433,,
424,0.005150883,,
425,0.005144358,,
426,0.005137857,,
427,0.005131381,,
428,0.005124929,,
429,0.005118501,,
430,0.005112096,,
431,0.005105716,,
432,0.005099359,,
433,0.005093025,,
434,0.005086715,,
435,0.005080428,,
436,0.005074163,,
437,0.005067922,,
438,0.005061703,,
439,0.005055507,,
440,0.005049334,,
441,0.005043183,,
442,0.005037053,,
443,0.005030946,,
444,0.005024861,,
445,0.005018798,,
446,0.005012756,,
447,0.005006736,,
448,0.005000737,,
449,0.00499476,,
450,0.004988803,,
451,0.004982868,,
452,0.004976953,,
453,0.00497106,,
454,0.004965187,,
455,0.004959334,,
456,0.004953502,,
457,0.00494769,,
458,0.004941899,,
459,0.004936127,,
