Project 4, CS420,,
 Artificial, Neural Nets,,
Completed by:, Ksenia Burova,,
,,,
,,,
Epoch #, RMSE,,
0,0.353997617,,
1,0.353920831,,
2,0.353870121,,
3,0.353837986,,
4,0.353817033,,
5,0.353802767,,
6,0.35379264,,
7,0.353785184,,
8,0.353779522,,
9,0.353775108,,
10,0.353771589,,
11,0.353768731,,
12,0.353766372,,
13,0.353764397,,
14,0.353762723,,
15,0.353761289,,
16,0.353760048,,
17,0.353758967,,
18,0.353758016,,
19,0.353757175,,
20,0.353756426,,
21,0.353755756,,
22,0.353755153,,
23,0.353754607,,
24,0.353754112,,
25,0.353753661,,
26,0.353753248,,
27,0.353752869,,
28,0.35375252,,
29,0.353752198,,
30,0.353751899,,
31,0.353751622,,
32,0.353751365,,
33,0.353751124,,
34,0.353750899,,
35,0.353750689,,
36,0.353750491,,
37,0.353750306,,
38,0.353750131,,
39,0.353749966,,
40,0.35374981,,
41,0.353749663,,
42,0.353749524,,
43,0.353749391,,
44,0.353749266,,
45,0.353749146,,
46,0.353749032,,
47,0.353748924,,
48,0.353748821,,
49,0.353748722,,
50,0.353748628,,
51,0.353748538,,
52,0.353748451,,
53,0.353748368,,
54,0.353748289,,
55,0.353748213,,
56,0.35374814,,
57,0.353748069,,
58,0.353748002,,
59,0.353747937,,
60,0.353747874,,
61,0.353747813,,
62,0.353747755,,
63,0.353747699,,
64,0.353747644,,
65,0.353747592,,
66,0.353747541,,
67,0.353747492,,
68,0.353747444,,
69,0.353747398,,
70,0.353747354,,
71,0.35374731,,
72,0.353747269,,
73,0.353747228,,
74,0.353747189,,
75,0.35374715,,
76,0.353747113,,
77,0.353747077,,
78,0.353747042,,
79,0.353747008,,
80,0.353746974,,
81,0.353746942,,
82,0.353746911,,
83,0.35374688,,
84,0.35374685,,
85,0.353746821,,
86,0.353746793,,
87,0.353746765,,
88,0.353746738,,
89,0.353746712,,
90,0.353746686,,
91,0.353746661,,
92,0.353746637,,
93,0.353746613,,
94,0.35374659,,
95,0.353746567,,
96,0.353746544,,
97,0.353746523,,
98,0.353746501,,
99,0.353746481,,
100,0.35374646,,
101,0.35374644,,
102,0.353746421,,
103,0.353746401,,
104,0.353746383,,
105,0.353746364,,
106,0.353746346,,
107,0.353746329,,
108,0.353746312,,
109,0.353746295,,
110,0.353746278,,
111,0.353746262,,
112,0.353746246,,
113,0.35374623,,
114,0.353746215,,
115,0.3537462,,
116,0.353746185,,
117,0.35374617,,
118,0.353746156,,
119,0.353746142,,
120,0.353746128,,
121,0.353746115,,
122,0.353746101,,
123,0.353746088,,
124,0.353746076,,
125,0.353746063,,
126,0.353746051,,
127,0.353746038,,
128,0.353746026,,
129,0.353746015,,
130,0.353746003,,
131,0.353745992,,
132,0.35374598,,
133,0.353745969,,
134,0.353745958,,
135,0.353745948,,
136,0.353745937,,
137,0.353745927,,
138,0.353745917,,
139,0.353745906,,
140,0.353745897,,
141,0.353745887,,
142,0.353745877,,
143,0.353745868,,
144,0.353745858,,
145,0.353745849,,
146,0.35374584,,
147,0.353745831,,
148,0.353745822,,
149,0.353745814,,
150,0.353745805,,
151,0.353745797,,
152,0.353745788,,
153,0.35374578,,
154,0.353745772,,
155,0.353745764,,
156,0.353745756,,
157,0.353745748,,
158,0.35374574,,
159,0.353745733,,
160,0.353745725,,
161,0.353745718,,
162,0.353745711,,
163,0.353745703,,
164,0.353745696,,
165,0.353745689,,
166,0.353745682,,
167,0.353745676,,
168,0.353745669,,
169,0.353745662,,
170,0.353745655,,
171,0.353745649,,
172,0.353745642,,
173,0.353745636,,
174,0.35374563,,
175,0.353745624,,
176,0.353745617,,
177,0.353745611,,
178,0.353745605,,
179,0.353745599,,
180,0.353745593,,
181,0.353745588,,
182,0.353745582,,
183,0.353745576,,
184,0.353745571,,
185,0.353745565,,
186,0.35374556,,
187,0.353745554,,
188,0.353745549,,
189,0.353745543,,
190,0.353745538,,
191,0.353745533,,
192,0.353745528,,
193,0.353745523,,
194,0.353745518,,
195,0.353745513,,
196,0.353745508,,
197,0.353745503,,
198,0.353745498,,
199,0.353745493,,
200,0.353745488,,
201,0.353745484,,
202,0.353745479,,
203,0.353745474,,
204,0.35374547,,
205,0.353745465,,
206,0.353745461,,
207,0.353745456,,
208,0.353745452,,
209,0.353745448,,
210,0.353745443,,
211,0.353745439,,
212,0.353745435,,
213,0.353745431,,
214,0.353745427,,
215,0.353745422,,
216,0.353745418,,
217,0.353745414,,
218,0.35374541,,
219,0.353745406,,
220,0.353745402,,
221,0.353745399,,
222,0.353745395,,
223,0.353745391,,
224,0.353745387,,
225,0.353745383,,
226,0.35374538,,
227,0.353745376,,
228,0.353745372,,
229,0.353745369,,
230,0.353745365,,
231,0.353745361,,
232,0.353745358,,
233,0.353745354,,
234,0.353745351,,
235,0.353745347,,
236,0.353745344,,
237,0.353745341,,
238,0.353745337,,
239,0.353745334,,
240,0.353745331,,
241,0.353745327,,
242,0.353745324,,
243,0.353745321,,
244,0.353745318,,
245,0.353745314,,
246,0.353745311,,
247,0.353745308,,
248,0.353745305,,
249,0.353745302,,
250,0.353745299,,
251,0.353745296,,
252,0.353745293,,
253,0.35374529,,
254,0.353745287,,
255,0.353745284,,
256,0.353745281,,
257,0.353745278,,
258,0.353745275,,
259,0.353745272,,
260,0.353745269,,
261,0.353745266,,
262,0.353745264,,
263,0.353745261,,
264,0.353745258,,
265,0.353745255,,
266,0.353745253,,
267,0.35374525,,
268,0.353745247,,
269,0.353745244,,
270,0.353745242,,
271,0.353745239,,
272,0.353745237,,
273,0.353745234,,
274,0.353745231,,
275,0.353745229,,
276,0.353745226,,
277,0.353745224,,
278,0.353745221,,
279,0.353745219,,
280,0.353745216,,
281,0.353745214,,
282,0.353745211,,
283,0.353745209,,
284,0.353745206,,
285,0.353745204,,
286,0.353745202,,
287,0.353745199,,
288,0.353745197,,
289,0.353745194,,
290,0.353745192,,
291,0.35374519,,
292,0.353745187,,
293,0.353745185,,
294,0.353745183,,
295,0.353745181,,
296,0.353745178,,
297,0.353745176,,
298,0.353745174,,
299,0.353745172,,
300,0.35374517,,
301,0.353745167,,
302,0.353745165,,
303,0.353745163,,
304,0.353745161,,
305,0.353745159,,
306,0.353745157,,
307,0.353745154,,
308,0.353745152,,
309,0.35374515,,
310,0.353745148,,
311,0.353745146,,
312,0.353745144,,
313,0.353745142,,
314,0.35374514,,
315,0.353745138,,
316,0.353745136,,
317,0.353745134,,
318,0.353745132,,
319,0.35374513,,
320,0.353745128,,
321,0.353745126,,
322,0.353745124,,
323,0.353745122,,
324,0.35374512,,
325,0.353745118,,
326,0.353745116,,
327,0.353745115,,
328,0.353745113,,
329,0.353745111,,
330,0.353745109,,
331,0.353745107,,
332,0.353745105,,
333,0.353745103,,
334,0.353745102,,
335,0.3537451,,
336,0.353745098,,
337,0.353745096,,
338,0.353745094,,
339,0.353745093,,
340,0.353745091,,
341,0.353745089,,
342,0.353745087,,
343,0.353745085,,
344,0.353745084,,
345,0.353745082,,
346,0.35374508,,
347,0.353745079,,
348,0.353745077,,
349,0.353745075,,
350,0.353745073,,
351,0.353745072,,
352,0.35374507,,
353,0.353745068,,
354,0.353745067,,
355,0.353745065,,
356,0.353745063,,
357,0.353745062,,
358,0.35374506,,
359,0.353745058,,
360,0.353745057,,
361,0.353745055,,
362,0.353745054,,
363,0.353745052,,
364,0.35374505,,
365,0.353745049,,
366,0.353745047,,
367,0.353745046,,
368,0.353745044,,
369,0.353745043,,
370,0.353745041,,
371,0.353745039,,
372,0.353745038,,
373,0.353745036,,
374,0.353745035,,
375,0.353745033,,
376,0.353745032,,
377,0.35374503,,
378,0.353745029,,
379,0.353745027,,
380,0.353745026,,
381,0.353745024,,
382,0.353745023,,
383,0.353745021,,
384,0.35374502,,
385,0.353745018,,
386,0.353745017,,
387,0.353745016,,
388,0.353745014,,
389,0.353745013,,
390,0.353745011,,
391,0.35374501,,
392,0.353745008,,
393,0.353745007,,
394,0.353745006,,
395,0.353745004,,
396,0.353745003,,
397,0.353745001,,
398,0.353745,,
399,0.353744999,,
400,0.353744997,,
401,0.353744996,,
402,0.353744994,,
403,0.353744993,,
404,0.353744992,,
405,0.35374499,,
406,0.353744989,,
407,0.353744988,,
408,0.353744986,,
409,0.353744985,,
410,0.353744984,,
411,0.353744982,,
412,0.353744981,,
413,0.35374498,,
414,0.353744978,,
415,0.353744977,,
416,0.353744976,,
417,0.353744974,,
418,0.353744973,,
419,0.353744972,,
420,0.353744971,,
421,0.353744969,,
422,0.353744968,,
423,0.353744967,,
424,0.353744965,,
425,0.353744964,,
426,0.353744963,,
427,0.353744962,,
428,0.35374496,,
429,0.353744959,,
430,0.353744958,,
431,0.353744957,,
432,0.353744955,,
433,0.353744954,,
434,0.353744953,,
435,0.353744952,,
436,0.35374495,,
437,0.353744949,,
438,0.353744948,,
439,0.353744947,,
440,0.353744946,,
441,0.353744944,,
442,0.353744943,,
443,0.353744942,,
444,0.353744941,,
445,0.35374494,,
446,0.353744938,,
447,0.353744937,,
448,0.353744936,,
449,0.353744935,,
450,0.353744934,,
451,0.353744932,,
452,0.353744931,,
453,0.35374493,,
454,0.353744929,,
455,0.353744928,,
456,0.353744927,,
457,0.353744925,,
458,0.353744924,,
459,0.353744923,,
