Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
0,0.202435584,
100,0.186148873,
200,0.185860043,
300,0.185781533,
400,0.185742571,
500,0.185693231,
600,0.185444977,
700,0.169317562,
800,0.05429242,
900,0.050683497,
1000,0.045949026,
1100,0.044751087,
1200,0.043987247,
1300,0.043275997,
1400,0.042624462,
1500,0.042023531,
1600,0.041436493,
1700,0.040818578,
1800,0.040110356,
1900,0.03920224,
2000,0.037910977,
2100,0.03609158,
2200,0.033724156,
2300,0.031005564,
2400,0.028539787,
2500,0.026742676,
2600,0.025157311,
2700,0.024617312,
2800,0.025028102,
2900,0.025529225,
3000,0.025958353,
3100,0.026307474,
3200,0.026564284,
3300,0.026735762,
3400,0.026835125,
3500,0.026873108,
3600,0.026860002,
3700,0.026808511,
3800,0.026732571,
3900,0.026644184,
4000,0.026551437,
4100,0.026458482,
4200,0.026366567,
4300,0.026275259,
4400,0.026183449,
4500,0.026090037,
4600,0.0259943,
4700,0.025896016,
4800,0.025795411,
4900,0.02569302,
5000,0.025589528,
5100,0.025485635,
5200,0.02538196,
5300,0.025278995,
5400,0.025177091,
5500,0.025076467,
5600,0.024977235,
5700,0.024879423,
5800,0.024783004,
5900,0.024687915,
6000,0.024594073,
6100,0.024501393,
6200,0.024409791,
6300,0.024319195,
6400,0.024229545,
6500,0.024140803,
6600,0.024052949,
6700,0.023965984,
6800,0.023879935,
6900,0.02379485,
7000,0.023710806,
7100,0.023627903,
7200,0.023546269,
7300,0.023466056,
7400,0.023387441,
7500,0.023310619,
7600,0.023235802,
7700,0.02316321,
7800,0.023093058,
7900,0.023025547,
8000,0.022960846,
8100,0.022899073,
8200,0.022840282,
8300,0.022784448,
8400,0.022731449,
8500,0.022681071,
8600,0.022633008,
8700,0.022586875,
8800,0.02254223,
8900,0.022498602,
9000,0.02245552,
9100,0.022412539,
9200,0.022369267,
9300,0.022325383,
9400,0.022280642,
9500,0.022234884,
9600,0.022188024,
9700,0.022140052,
9800,0.022091011,
9900,0.022040996,
10000,0.021990135,
10100,0.02193858,
10200,0.021886494,
10300,0.02183405,
10400,0.021781417,
10500,0.021728757,
10600,0.021676222,
10700,0.021623952,
10800,0.021572072,
10900,0.02152069,
11000,0.021469899,
11100,0.021419778,
11200,0.021370389,
11300,0.02132178,
11400,0.021273987,
11500,0.021227034,
11600,0.021180935,
11700,0.021135693,
11800,0.021091303,
11900,0.021047753,
12000,0.021005027,
12100,0.020963101,
12200,0.020921947,
12300,0.020881535,
12400,0.02084183,
12500,0.020802798,
12600,0.020764401,
12700,0.0207266,
12800,0.020689356,
12900,0.02065263,
13000,0.020616382,
13100,0.020580575,
13200,0.02054517,
13300,0.020510131,
13400,0.020475422,
13500,0.020441009,
13600,0.020406859,
13700,0.020372941,
13800,0.020339228,
13900,0.020305693,
14000,0.02027231,
14100,0.020239058,
14200,0.020205917,
14300,0.020172869,
14400,0.020139899,
14500,0.020106996,
14600,0.020074148,
14700,0.020041347,
14800,0.020008589,
14900,0.019975869,
-----,testing network, ----
Expected, Computed real, Is solved
0.500607,0.519363129,yes
0.89086,0.958650603, no
0.228752,0.258638697,yes
0.453343,0.464525462,yes
0.432709,0.458580671,yes
0.785425,0.775766257,yes
0.766554,0.778788038,yes
0.866206,0.873166191,yes
0.546951,0.579594673, no
0.348117,0.36157793,yes
0.526406,0.522934752,yes
0.23416,0.23451585,yes
0.141295,0.129786667,yes
0.310978,0.343949053, no
0.235798,0.261223736,yes
0.400042,0.409589313,yes
0.482745,0.490511159,yes
0.187194,0.198412119,yes
0.692398,0.696736959,yes
0.972145,0.954318166,yes
0.883005,0.930722963, no
0.422983,0.453402743, no
0.202254,0.216699464,yes
0.616578,0.619254781,yes
0.050615,0.056550961,yes
0.280356,0.326125671, no
0.623611,0.617021573,yes
0.578388,0.585831198,yes
0.34391,0.363059026,yes
0.874598,0.885437104,yes
0.025839,0.04233503,yes
0.493732,0.508478876,yes
0.199344,0.211215949,yes
0.858072,0.882366379,yes
0.628925,0.638014802,yes
0.350675,0.331728372,yes
0.501899,0.531346507,yes
0.929958,0.936778767,yes
0.454126,0.439917624,yes
0.35887,0.332848535,yes
0.304436,0.339697048, no
0.938094,0.937158287,yes
0.182553,0.261084381, no
0.289613,0.318464436,yes
0.211839,0.228409844,yes
0.056373,0.06095818,yes
0.980188,0.966684341,yes
0.730154,0.72583418,yes
0.186552,0.166975186,yes
0.594873,0.613707039,yes
Accuracy percentage: ,84.00%,
