Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
0,0.121373169,
100,0.122812616,
200,0.122703533,
300,0.055893214,
400,0.017695892,
500,0.014444812,
600,0.013792505,
700,0.013502079,
800,0.013369705,
900,0.01334836,
1000,0.013388212,
1100,0.013451014,
1200,0.013512688,
1300,0.013563316,
1400,0.01360382,
1500,0.013639236,
1600,0.013672833,
1700,0.013704095,
1800,0.013730101,
1900,0.013747811,
2000,0.013755577,
2100,0.013753654,
2200,0.013743968,
2300,0.01372938,
2400,0.013712732,
2500,0.013696073,
2600,0.013680323,
2700,0.013665325,
2800,0.01365016,
2900,0.013633642,
3000,0.013614809,
3100,0.013593215,
3200,0.013568914,
3300,0.013542286,
3400,0.01351387,
3500,0.013484271,
3600,0.013454118,
3700,0.013424043,
3800,0.013394644,
3900,0.01336643,
4000,0.013339769,
4100,0.013314853,
4200,0.013291679,
4300,0.013270061,
4400,0.013249654,
4500,0.013229967,
4600,0.013210387,
4700,0.013190192,
4800,0.013168583,
4900,0.013144748,
5000,0.013117957,
5100,0.013087688,
5200,0.013053729,
5300,0.013016231,
5400,0.012975658,
5500,0.012932686,
5600,0.012888069,
5700,0.012842536,
5800,0.012796726,
5900,0.012751151,
6000,0.012706187,
6100,0.012662083,
6200,0.012618977,
6300,0.012576926,
6400,0.012535925,
6500,0.012495937,
6600,0.012456913,
6700,0.012418816,
6800,0.012381636,
6900,0.012345403,
7000,0.012310192,
7100,0.012276114,
7200,0.012243307,
7300,0.012211916,
7400,0.012182076,
7500,0.012153902,
7600,0.012127475,
7700,0.012102842,
7800,0.01208001,
7900,0.012058956,
8000,0.012039628,
8100,0.012021955,
8200,0.012005851,
8300,0.011991223,
8400,0.011977976,
8500,0.01196602,
8600,0.01195527,
8700,0.011945646,
8800,0.011937081,
8900,0.011929512,
9000,0.011922883,
9100,0.011917144,
9200,0.011912245,
9300,0.01190814,
9400,0.011904779,
9500,0.011902114,
9600,0.011900093,
9700,0.011898664,
9800,0.011897774,
9900,0.01189737,
10000,0.0118974,
10100,0.011897815,
10200,0.011898569,
10300,0.011899618,
10400,0.011900923,
10500,0.011902449,
10600,0.011904164,
10700,0.011906041,
10800,0.011908056,
10900,0.011910187,
11000,0.011912415,
11100,0.011914724,
11200,0.011917098,
11300,0.011919523,
11400,0.011921987,
11500,0.011924477,
11600,0.011926982,
11700,0.011929491,
11800,0.011931992,
11900,0.011934474,
12000,0.011936925,
12100,0.011939335,
12200,0.011941691,
12300,0.011943982,
12400,0.011946196,
12500,0.011948321,
12600,0.011950344,
12700,0.011952253,
12800,0.011954036,
12900,0.01195568,
13000,0.011957173,
13100,0.011958503,
13200,0.011959656,
13300,0.011960622,
13400,0.011961387,
13500,0.01196194,
13600,0.01196227,
13700,0.011962364,
13800,0.011962213,
13900,0.011961804,
14000,0.011961127,
14100,0.011960173,
14200,0.011958932,
14300,0.011957395,
14400,0.011955552,
14500,0.011953395,
14600,0.011950915,
14700,0.011948105,
14800,0.011944957,
14900,0.011941461,
15000,0.011937611,
15100,0.011933397,
15200,0.011928809,
15300,0.011923838,
15400,0.011918472,
15500,0.011912698,
15600,0.011906502,
15700,0.011899868,
15800,0.011892778,
15900,0.011885211,
16000,0.011877145,
16100,0.011868555,
16200,0.011859412,
16300,0.011849687,
16400,0.011839347,
16500,0.011828357,
16600,0.011816678,
16700,0.01180427,
16800,0.011791088,
16900,0.011777087,
17000,0.011762216,
17100,0.011746424,
17200,0.011729654,
17300,0.011711849,
17400,0.011692946,
17500,0.011672882,
17600,0.011651587,
17700,0.011628993,
17800,0.011605028,
17900,0.011579621,
18000,0.011552701,
18100,0.011524201,
18200,0.011494065,
18300,0.011462245,
18400,0.011428714,
18500,0.011393467,
18600,0.011356529,
18700,0.011317958,
18800,0.011277853,
18900,0.011236346,
19000,0.011193608,
19100,0.011149838,
19200,0.011105253,
19300,0.011060082,
19400,0.011014554,
19500,0.010968886,
19600,0.01092328,
19700,0.010877912,
19800,0.01083293,
19900,0.010788458,
20000,0.010744588,
20100,0.010701387,
20200,0.010658898,
20300,0.010617143,
20400,0.010576126,
20500,0.010535835,
20600,0.010496248,
20700,0.010457333,
20800,0.01041905,
20900,0.010381358,
21000,0.010344212,
21100,0.010307571,
21200,0.010271393,
21300,0.010235643,
21400,0.010200292,
21500,0.010165317,
21600,0.010130704,
21700,0.010096449,
21800,0.010062554,
21900,0.010029031,
22000,0.0099959,
22100,0.009963187,
22200,0.009930921,
22300,0.009899138,
22400,0.009867875,
22500,0.009837167,
22600,0.009807052,
22700,0.009777562,
22800,0.00974873,
22900,0.009720581,
23000,0.00969314,
23100,0.009666425,
23200,0.00964045,
23300,0.009615226,
23400,0.00959076,
23500,0.009567053,
23600,0.009544106,
23700,0.009521916,
23800,0.009500477,
23900,0.009479783,
24000,0.009459824,
24100,0.009440592,
24200,0.009422074,
24300,0.009404261,
24400,0.00938714,
24500,0.009370699,
24600,0.009354926,
24700,0.009339807,
24800,0.009325331,
24900,0.009311485,
25000,0.009298255,
25100,0.009285629,
25200,0.009273594,
25300,0.009262135,
25400,0.009251238,
25500,0.00924089,
25600,0.009231073,
25700,0.009221773,
25800,0.009212972,
25900,0.009204652,
26000,0.009196794,
26100,0.009189375,
26200,0.009182375,
26300,0.009175768,
26400,0.00916953,
26500,0.009163631,
26600,0.009158043,
26700,0.009152735,
26800,0.009147674,
26900,0.009142825,
27000,0.009138154,
27100,0.009133623,
27200,0.009129196,
27300,0.009124835,
27400,0.009120504,
27500,0.009116166,
27600,0.009111787,
27700,0.009107335,
27800,0.009102777,
27900,0.009098088,
28000,0.009093243,
28100,0.00908822,
28200,0.009083002,
28300,0.009077577,
28400,0.009071935,
28500,0.009066069,
28600,0.00905998,
28700,0.009053668,
28800,0.009047138,
28900,0.009040399,
29000,0.00903346,
29100,0.009026335,
29200,0.009019038,
29300,0.009011584,
29400,0.00900399,
29500,0.008996273,
29600,0.008988451,
29700,0.00898054,
29800,0.008972557,
29900,0.008964518,
30000,0.008956438,
30100,0.008948332,
30200,0.008940212,
30300,0.008932089,
30400,0.008923975,
30500,0.008915878,
30600,0.008907804,
30700,0.008899761,
30800,0.008891752,
30900,0.008883782,
31000,0.008875851,
31100,0.008867961,
31200,0.008860111,
31300,0.008852301,
31400,0.008844528,
31500,0.008836789,
31600,0.008829081,
31700,0.008821401,
31800,0.008813743,
31900,0.008806103,
32000,0.008798477,
32100,0.008790858,
32200,0.008783243,
32300,0.008775626,
32400,0.008768002,
32500,0.008760367,
32600,0.008752716,
32700,0.008745046,
32800,0.008737352,
32900,0.008729631,
33000,0.00872188,
33100,0.008714096,
33200,0.008706278,
33300,0.008698423,
33400,0.00869053,
33500,0.008682598,
33600,0.008674627,
33700,0.008666616,
33800,0.008658565,
33900,0.008650475,
34000,0.008642347,
34100,0.008634181,
34200,0.00862598,
34300,0.008617744,
34400,0.008609475,
34500,0.008601177,
34600,0.008592849,
34700,0.008584496,
34800,0.008576119,
34900,0.008567722,
35000,0.008559305,
35100,0.008550873,
35200,0.008542428,
35300,0.008533973,
35400,0.00852551,
35500,0.008517042,
35600,0.008508572,
35700,0.008500102,
35800,0.008491636,
35900,0.008483175,
36000,0.008474723,
36100,0.008466281,
36200,0.008457853,
36300,0.008449439,
36400,0.008441044,
36500,0.008432668,
36600,0.008424314,
36700,0.008415984,
36800,0.008407679,
36900,0.008399402,
37000,0.008391154,
37100,0.008382936,
37200,0.008374751,
37300,0.0083666,
37400,0.008358483,
37500,0.008350403,
37600,0.00834236,
37700,0.008334356,
37800,0.008326391,
37900,0.008318467,
38000,0.008310584,
38100,0.008302743,
38200,0.008294945,
38300,0.00828719,
38400,0.008279479,
38500,0.008271814,
38600,0.008264193,
38700,0.008256618,
38800,0.008249089,
38900,0.008241606,
39000,0.00823417,
39100,0.008226781,
39200,0.008219438,
39300,0.008212144,
39400,0.008204896,
39500,0.008197697,
39600,0.008190545,
39700,0.008183441,
39800,0.008176384,
39900,0.008169376,
40000,0.008162415,
40100,0.008155503,
40200,0.008148638,
40300,0.008141821,
40400,0.008135052,
40500,0.008128331,
40600,0.008121658,
40700,0.008115032,
40800,0.008108455,
40900,0.008101924,
41000,0.008095441,
41100,0.008089006,
41200,0.008082618,
41300,0.008076278,
41400,0.008069984,
