Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.3506578342271223
100,0.007689020980391192
200,0.005316075210194011
300,0.004297187791772811
400,0.0036989198720977167
500,0.0032945008065631957
600,0.002997971478439836
700,0.0027686822143221435
800,0.0025846057063272673
900,0.0024326396299115304
1000,0.002304440941035517
1100,0.0021944129920201554
1200,0.0020986435847007343
1300,0.002014305070851113
1400,0.0019392963588743407
1500,0.0018720194355191788
1600,0.0018112344995276067
1700,0.0017559629973802945
1800,0.0017054209073203788
1900,0.0016589717210767712
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.997401718486641,yes
0.0,0.0015116125125857805,yes
0.0,0.0021986635577931376,yes
1.0,0.997401718486641,yes
1.0,0.9973519719742828,yes
0.0,0.0015116125125857805,yes
1.0,0.9973519719742828,yes
0.0,0.0021986635577931376,yes
1.0,0.997401718486641,yes
1.0,0.997401718486641,yes
0.0,0.0021986635577931376,yes
0.0,0.0015116125125857805,yes
0.0,0.0021986635577931376,yes
1.0,0.997401718486641,yes
1.0,0.9973519719742828,yes
1.0,0.9973519719742828,yes
1.0,0.997401718486641,yes
0.0,0.0015116125125857805,yes
0.0,0.0015116125125857805,yes
1.0,0.9973519719742828,yes
1.0,0.997401718486641,yes
0.0,0.0021986635577931376,yes
1.0,0.9973519719742828,yes
0.0,0.0015116125125857805,yes
1.0,0.997401718486641,yes
0.0,0.0021986635577931376,yes
1.0,0.9973519719742828,yes
0.0,0.0015116125125857805,yes
0.0,0.0021986635577931376,yes
1.0,0.997401718486641,yes
0.0,0.0015116125125857805,yes
0.0,0.0015116125125857805,yes
1.0,0.997401718486641,yes
1.0,0.997401718486641,yes
1.0,0.997401718486641,yes
0.0,0.0021986635577931376,yes
0.0,0.0021986635577931376,yes
1.0,0.997401718486641,yes
0.0,0.0015116125125857805,yes
0.0,0.0015116125125857805,yes
1.0,0.9973519719742828,yes
0.0,0.0015116125125857805,yes
1.0,0.997401718486641,yes
1.0,0.997401718486641,yes
0.0,0.0015116125125857805,yes
1.0,0.9973519719742828,yes
0.0,0.0015116125125857805,yes
1.0,0.9973519719742828,yes
0.0,0.0021986635577931376,yes
1.0,0.9973519719742828,yes
Accuracy percentage: ,100.0%
