Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.3242698964897037
100,0.006240399404031238
200,0.004329928202359038
300,0.003504400414743309
400,0.0030184235060553093
500,0.0026894417966856383
600,0.002448003160408967
700,0.002261192221575379
800,0.002111146338026813
900,0.0019872289552544573
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9969754679307578,yes
0.0,0.0017609036353141312,yes
0.0,0.0025741426741141145,yes
1.0,0.9969754679307578,yes
1.0,0.9969188919101998,yes
0.0,0.0017609036353141312,yes
1.0,0.9969188919101998,yes
0.0,0.0025741426741141145,yes
1.0,0.9969754679307578,yes
1.0,0.9969754679307578,yes
0.0,0.0025741426741141145,yes
0.0,0.0017609036353141312,yes
0.0,0.0025741426741141145,yes
1.0,0.9969754679307578,yes
1.0,0.9969188919101998,yes
1.0,0.9969188919101998,yes
1.0,0.9969754679307578,yes
0.0,0.0017609036353141312,yes
0.0,0.0017609036353141312,yes
1.0,0.9969188919101998,yes
1.0,0.9969754679307578,yes
0.0,0.0025741426741141145,yes
1.0,0.9969188919101998,yes
0.0,0.0017609036353141312,yes
1.0,0.9969754679307578,yes
0.0,0.0025741426741141145,yes
1.0,0.9969188919101998,yes
0.0,0.0017609036353141312,yes
0.0,0.0025741426741141145,yes
1.0,0.9969754679307578,yes
0.0,0.0017609036353141312,yes
0.0,0.0017609036353141312,yes
1.0,0.9969754679307578,yes
1.0,0.9969754679307578,yes
1.0,0.9969754679307578,yes
0.0,0.0025741426741141145,yes
0.0,0.0025741426741141145,yes
1.0,0.9969754679307578,yes
0.0,0.0017609036353141312,yes
0.0,0.0017609036353141312,yes
1.0,0.9969188919101998,yes
0.0,0.0017609036353141312,yes
1.0,0.9969754679307578,yes
1.0,0.9969754679307578,yes
0.0,0.0017609036353141312,yes
1.0,0.9969188919101998,yes
0.0,0.0017609036353141312,yes
1.0,0.9969188919101998,yes
0.0,0.0025741426741141145,yes
1.0,0.9969188919101998,yes
Accuracy percentage: ,100.0%
