Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.3494516772828468
100,0.005921704305099133
200,0.004059228863075626
300,0.003264983867442649
400,0.0028006924120702677
500,0.002487874821395386
600,0.002259111261331238
700,0.0020826057277453865
800,0.0019411671668486397
900,0.0018245895087825004
1000,0.001726384763172406
1100,0.0016422071140028461
1200,0.0015690227574601356
1300,0.0015046415687366328
1400,0.0014474379620406728
1500,0.0013961768308450055
1600,0.0013499008321768112
1700,0.001307855013760051
1800,0.0012694349999520863
1900,0.0012341505059691876
2000,0.0012015990974069857
2100,0.0011714469619014572
2200,0.0011434145821324604
2300,0.0011172658998115663
2400,0.0010928000085379
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9984072355320422,yes
0.0,0.0010986815617000003,yes
0.0,0.0016984836117225036,yes
1.0,0.9984072355320422,yes
1.0,0.998369266680008,yes
0.0,0.0010986815617000003,yes
1.0,0.998369266680008,yes
0.0,0.0016984836117225036,yes
1.0,0.9984072355320422,yes
1.0,0.9984072355320422,yes
0.0,0.0016984836117225036,yes
0.0,0.0010986815617000003,yes
0.0,0.0016984836117225036,yes
1.0,0.9984072355320422,yes
1.0,0.998369266680008,yes
1.0,0.998369266680008,yes
1.0,0.9984072355320422,yes
0.0,0.0010986815617000003,yes
0.0,0.0010986815617000003,yes
1.0,0.998369266680008,yes
1.0,0.9984072355320422,yes
0.0,0.0016984836117225036,yes
1.0,0.998369266680008,yes
0.0,0.0010986815617000003,yes
1.0,0.9984072355320422,yes
0.0,0.0016984836117225036,yes
1.0,0.998369266680008,yes
0.0,0.0010986815617000003,yes
0.0,0.0016984836117225036,yes
1.0,0.9984072355320422,yes
0.0,0.0010986815617000003,yes
0.0,0.0010986815617000003,yes
1.0,0.9984072355320422,yes
1.0,0.9984072355320422,yes
1.0,0.9984072355320422,yes
0.0,0.0016984836117225036,yes
0.0,0.0016984836117225036,yes
1.0,0.9984072355320422,yes
0.0,0.0010986815617000003,yes
0.0,0.0010986815617000003,yes
1.0,0.998369266680008,yes
0.0,0.0010986815617000003,yes
1.0,0.9984072355320422,yes
1.0,0.9984072355320422,yes
0.0,0.0010986815617000003,yes
1.0,0.998369266680008,yes
0.0,0.0010986815617000003,yes
1.0,0.998369266680008,yes
0.0,0.0016984836117225036,yes
1.0,0.998369266680008,yes
Accuracy percentage: ,100.0%
