Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.3072984975239526
100,0.0048360626852993254
200,0.003292766551637552
300,0.002637171166695429
400,0.0022551285810001563
500,0.0019983724175274106
600,0.0018109970786924492
700,0.0016666811119548936
800,0.0015512148620504128
900,0.0014561737138457816
1000,0.0013762087119080929
1100,0.001307740992008045
1200,0.001248274712562917
1300,0.0011960098067096312
1400,0.0011496113713474634
1500,0.0011080659846276755
1600,0.0010705887324746325
1700,0.001036561081942839
1800,0.001005488202039073
1900,9.769689297342721E-4
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9986159607532596,yes
0.0,9.673573462189621E-4,yes
0.0,0.0015675479309106815,yes
1.0,0.9986159607532596,yes
1.0,0.9985674132134915,yes
0.0,9.673573462189621E-4,yes
1.0,0.9985674132134915,yes
0.0,0.0015675479309106815,yes
1.0,0.9986159607532596,yes
1.0,0.9986159607532596,yes
0.0,0.0015675479309106815,yes
0.0,9.673573462189621E-4,yes
0.0,0.0015675479309106815,yes
1.0,0.9986159607532596,yes
1.0,0.9985674132134915,yes
1.0,0.9985674132134915,yes
1.0,0.9986159607532596,yes
0.0,9.673573462189621E-4,yes
0.0,9.673573462189621E-4,yes
1.0,0.9985674132134915,yes
1.0,0.9986159607532596,yes
0.0,0.0015675479309106815,yes
1.0,0.9985674132134915,yes
0.0,9.673573462189621E-4,yes
1.0,0.9986159607532596,yes
0.0,0.0015675479309106815,yes
1.0,0.9985674132134915,yes
0.0,9.673573462189621E-4,yes
0.0,0.0015675479309106815,yes
1.0,0.9986159607532596,yes
0.0,9.673573462189621E-4,yes
0.0,9.673573462189621E-4,yes
1.0,0.9986159607532596,yes
1.0,0.9986159607532596,yes
1.0,0.9986159607532596,yes
0.0,0.0015675479309106815,yes
0.0,0.0015675479309106815,yes
1.0,0.9986159607532596,yes
0.0,9.673573462189621E-4,yes
0.0,9.673573462189621E-4,yes
1.0,0.9985674132134915,yes
0.0,9.673573462189621E-4,yes
1.0,0.9986159607532596,yes
1.0,0.9986159607532596,yes
0.0,9.673573462189621E-4,yes
1.0,0.9985674132134915,yes
0.0,9.673573462189621E-4,yes
1.0,0.9985674132134915,yes
0.0,0.0015675479309106815,yes
1.0,0.9985674132134915,yes
Accuracy percentage: ,100.0%
