Project 4, CS420
 Artificial, Neural Nets
Completed by:, Ksenia Burova


Epoch #, RMSE
0,0.35370913726777636
100,0.3534833676155297
200,0.013172608942974012
300,0.006138669974485439
400,0.0045850757636372265
500,0.0038161978879793627
600,0.0033371407800454654
700,0.003002299772974136
800,0.0027513962439175543
900,0.0025543820800338316
1000,0.0023943844846030966
1100,0.002261103930692169
1200,0.002147851110540245
1300,0.0020500679279764535
1400,0.001964527314626714
1500,0.0018888719872886342
1600,0.001821334596406648
1700,0.0017605605827428657
1800,0.0017054919792392406
1900,0.0016552888363685343
2000,0.0016092746744427522
2100,0.0015668977373340812
2200,0.0015277029087325802
2300,0.001491310988542422
2400,0.0014574031535098805
-----,testing network, ----
Expected, Computed real, Is solved
1.0,0.9976765935666959,yes
0.0,0.001489148377350301,yes
0.0,0.0017446695467743167,yes
1.0,0.9976765935666959,yes
1.0,0.9976618355449445,yes
0.0,0.001489148377350301,yes
1.0,0.9976618355449445,yes
0.0,0.0017446695467743167,yes
1.0,0.9976765935666959,yes
1.0,0.9976765935666959,yes
0.0,0.0017446695467743167,yes
0.0,0.001489148377350301,yes
0.0,0.0017446695467743167,yes
1.0,0.9976765935666959,yes
1.0,0.9976618355449445,yes
1.0,0.9976618355449445,yes
1.0,0.9976765935666959,yes
0.0,0.001489148377350301,yes
0.0,0.001489148377350301,yes
1.0,0.9976618355449445,yes
1.0,0.9976765935666959,yes
0.0,0.0017446695467743167,yes
1.0,0.9976618355449445,yes
0.0,0.001489148377350301,yes
1.0,0.9976765935666959,yes
0.0,0.0017446695467743167,yes
1.0,0.9976618355449445,yes
0.0,0.001489148377350301,yes
0.0,0.0017446695467743167,yes
1.0,0.9976765935666959,yes
0.0,0.001489148377350301,yes
0.0,0.001489148377350301,yes
1.0,0.9976765935666959,yes
1.0,0.9976765935666959,yes
1.0,0.9976765935666959,yes
0.0,0.0017446695467743167,yes
0.0,0.0017446695467743167,yes
1.0,0.9976765935666959,yes
0.0,0.001489148377350301,yes
0.0,0.001489148377350301,yes
1.0,0.9976618355449445,yes
0.0,0.001489148377350301,yes
1.0,0.9976765935666959,yes
1.0,0.9976765935666959,yes
0.0,0.001489148377350301,yes
1.0,0.9976618355449445,yes
0.0,0.001489148377350301,yes
1.0,0.9976618355449445,yes
0.0,0.0017446695467743167,yes
1.0,0.9976618355449445,yes
Accuracy percentage: ,100.0%
