Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.05501266752354608,0.6073438919558013,12
1,0.4239681919944684,0.8390697050607587,10
2,0.5035198533750223,0.9824964417125569,13
3,0.5210127077968321,0.9848643728444515,11
4,0.5069925485055404,0.9766176864199947,13
5,0.666484147135544,0.9748266897675956,10
6,0.6720646550264304,0.9311445462393859,16
7,0.6579774921948889,0.9672108657292865,12
8,0.6230982896421556,0.9695085197151183,14
9,0.6554436230775197,0.9695085197151183,13
10,0.6761885015743169,0.9695085197151183,13
11,0.7609430447780595,0.9829846424243504,12
12,0.8211313793721325,0.9830034237341215,13
13,0.7096777517001521,0.9830128145101162,13
14,0.70130610190872,0.9789728636226525,13
15,0.7539835673757416,0.9780002669580736,11
16,0.7732491282693419,0.9958877565770695,14
17,0.719578194766522,0.9958877565770695,12
18,0.6773714101398106,0.9795905398482141,14
19,0.7093807926107338,0.9801898335542907,12
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.08322134039327414,0.6208841351555444,11
1,0.2827648561569927,0.6467954751049678,12
2,0.4849706208781306,0.8571754357976701,10
3,0.5480768984586322,0.8633969734383891,13
4,0.5494243202174611,0.8806801639272944,11
5,0.6399855932287494,0.9371271976167157,9
6,0.5703785416806401,0.9161396851412831,14
7,0.6417437575071107,0.9402803393100152,14
8,0.6841379957370712,0.9402803393100152,12
9,0.6041648676088602,0.9541399072959478,12
10,0.6198871426921289,0.9402983846659552,12
11,0.6958399361050938,0.9743141888132489,12
12,0.7037907020337334,0.9746123416782597,12
13,0.7429449698126896,0.9745750680800297,10
14,0.6812757926438952,0.9744632549829741,11
15,0.6405576219912985,0.9839241036338238,12
16,0.633276902329513,0.9937045819891299,14
17,0.6852586053558514,0.9850242990103987,11
18,0.6294177965146812,0.9937614796077693,10
19,0.6422335877271621,0.9984180279504092,11
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07050216195954669,0.8053222436452417,11
1,0.47273240179323284,0.850812843282507,12
2,0.6245304319040235,0.9552741469733675,16
3,0.6889258919614847,0.9958592526235174,15
4,0.68349866742698,0.9563729535395021,10
5,0.6081897697830638,0.9563729535395021,13
6,0.7061577877929028,0.996087304812328,11
7,0.7659211979258881,0.9960492928504971,15
8,0.7455945744642672,0.9976469198019685,10
9,0.7539653201446234,0.9958782551776345,10
10,0.7984213663474363,0.9960778016994745,9
11,0.6837743070229396,0.9963154040017049,12
12,0.7918888542022959,0.9963154040017049,13
13,0.7047361774060152,0.9900219706061928,15
14,0.6619420462141347,0.9866908016844949,13
15,0.6527432153013206,0.9960492928504971,13
16,0.6065524890226449,0.9960492928504971,13
17,0.6672695376687765,0.9957927462539474,12
18,0.7108275065756224,0.9573445120545601,12
19,0.68983395070472,0.9552649950276334,13
Run # 3
