Run # 0,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.092353664,0.915602182,15,,,
1,0.540944462,0.922532081,11,,,
2,0.675247556,0.917365548,11,,,
3,0.769408139,0.990494625,10,,,
4,0.675241313,0.990494625,10,,,
5,0.628527935,0.992349389,13,,,
6,0.649727245,0.954231333,13,,,
7,0.599906758,0.920405687,11,,,
8,0.631755406,0.920972294,12,,,
9,0.610378838,0.948077744,12,,,
10,0.591234891,0.94988819,13,,,
11,0.652076478,0.990882353,12,,,
12,0.511145131,0.995735744,15,,,
13,0.594540907,0.998170453,13,,,
14,0.577382979,0.982167968,9,,,
15,0.680804792,0.987256293,15,,,
16,0.756185781,0.987256293,12,,,
17,0.7179585,0.988482526,11,,,
18,0.616826088,0.998189496,14,,,
19,0.717004007,0.989691233,15,,,
Run # 1,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.0647861,0.419834558,8,,,
1,0.314720302,0.811836336,11,,,
2,0.433467331,0.951391672,12,,,
3,0.510012185,0.951400791,13,,,
4,0.694291632,0.986700224,13,,,
5,0.694690518,0.989115043,12,,,
6,0.680799821,0.9988276,12,,,
7,0.628470605,0.997608854,11,,,
8,0.645115321,0.997608854,12,,,
9,0.739466673,0.998237103,14,,,
10,0.691161634,0.997894378,12,,,
11,0.771774068,0.997980049,14,,,
12,0.665830073,0.997761124,13,,,0.989691233
13,0.768957622,0.998941926,14,,,0.965897481
14,0.656595568,0.997723055,9,,,0.988218299
15,0.665071367,0.997704021,13,,,0.99997139
16,0.632280545,0.951893309,11,,,0.983773736
17,0.68207246,0.95218528,16,,,0.997780159
18,0.730115044,0.965906725,11,,,0.99797053
19,0.675762574,0.965897481,12,,,0.993941675
Run # 2,,,,,,0.986916963
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,0.990107033
0,0.070572541,0.767523917,10,,,
1,0.415559604,0.799876504,9,,,
2,0.533419246,0.89355747,12,,,
3,0.542482866,0.895524337,12,,,
4,0.591128838,0.85940287,10,,,
5,0.566429276,0.85940287,11,,,
6,0.578807965,0.857789954,8,,,
7,0.562791341,0.859977194,8,,,
8,0.526243081,0.981586343,9,,,
9,0.472485511,0.981586343,9,,,
10,0.491617076,0.916695109,8,,,
11,0.623523039,0.907757175,10,,,
12,0.61140606,0.925632102,12,,,
13,0.694933307,0.992699874,7,,,
14,0.659176162,0.986756761,10,,,
15,0.58110324,0.996448484,10,,,
16,0.467488282,0.991591966,9,,,
17,0.498558247,0.98312551,10,,,
18,0.588498926,0.987916402,9,,,
19,0.628358423,0.988218299,10,,,
Run # 3,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.076920875,0.952568614,13,,,
1,0.495548163,0.993097856,13,,,
2,0.71075814,0.993249507,12,,,
3,0.748187897,0.993268464,12,,,
4,0.744382475,0.993268464,12,,,
5,0.733900396,0.993875284,15,,,
6,0.770407764,0.998094288,13,,,
7,0.635228853,0.994947514,11,,,
8,0.587596003,0.993799413,9,,,
9,0.812253222,0.995013969,12,,,
10,0.819334162,0.997932453,14,,,
11,0.807161584,0.994862077,17,,,
12,0.723291854,0.995013969,14,,,
13,0.706801096,0.993894252,15,,,
14,0.728575678,0.995108913,11,,,
15,0.740539543,0.995118408,10,,,
16,0.669694407,0.996752726,9,,,
17,0.684840792,0.99997139,13,,,
18,0.771588758,0.99997139,14,,,
19,0.776598113,0.99997139,11,,,
Run # 4,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.086874007,0.746671088,10,,,
1,0.551274436,0.882817555,11,,,
2,0.516667523,0.887191974,12,,,
3,0.56564146,0.953536693,8,,,
4,0.597627001,0.903213259,13,,,
5,0.604281882,0.923197486,12,,,
6,0.560311556,0.916095617,9,,,
7,0.620100717,0.916245457,11,,,
8,0.603461128,0.911768615,10,,,
9,0.615372045,0.957959068,13,,,
10,0.603387445,0.95799577,16,,,
11,0.667318546,0.958004945,15,,,
12,0.663317819,0.957949893,13,,,
13,0.709861624,0.957949893,13,,,
14,0.712378067,0.959455666,10,,,
15,0.730080652,0.991450006,14,,,
16,0.649905152,0.991393228,14,,,
17,0.726393362,0.960255325,14,,,
18,0.622763732,0.993429618,14,,,
19,0.713920636,0.983773736,10,,,
Run # 5,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.172880553,0.721075788,11,,,
1,0.450533404,0.727754026,12,,,
2,0.431747443,0.724457926,12,,,
3,0.478098178,0.722754396,11,,,
4,0.550470629,0.966812981,12,,,
5,0.593186962,0.973122398,12,,,
6,0.694161184,0.977897447,14,,,
7,0.66981406,0.986135019,11,,,
8,0.611191654,0.995669245,11,,,
9,0.66833213,0.995678745,14,,,
10,0.691835245,0.995678745,13,,,
11,0.642029155,0.995678745,11,,,
12,0.643098894,0.996904878,13,,,
13,0.628155649,0.999380285,14,,,
14,0.782322717,0.981473806,18,,,
15,0.704574301,0.992141046,12,,,
16,0.6041992,0.973522619,15,,,
17,0.580829021,0.997770642,12,,,
18,0.642359119,0.999399348,12,,,
19,0.710633875,0.997780159,13,,,
Run # 6,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.047551199,0.47741361,7,,,
1,0.180989153,0.519297783,9,,,
2,0.239963042,0.519297783,11,,,
3,0.332775476,0.881352386,14,,,
4,0.428634925,0.991686615,12,,,
5,0.457524971,0.991639289,9,,,
6,0.516559846,0.991989548,11,,,
7,0.574712296,0.991147222,14,,,
8,0.689920318,0.991071538,12,,,
9,0.664459315,0.986012596,12,,,
10,0.679423312,0.98120189,11,,,
11,0.705228855,0.990816146,12,,,
12,0.725072409,0.982186735,12,,,
13,0.658904857,0.954341055,15,,,
14,0.663310722,0.980339709,13,,,
15,0.669278729,0.980339709,15,,,
16,0.751183071,0.980339709,15,,,
17,0.658462081,0.975927056,13,,,
18,0.622142913,0.99797053,12,,,
19,0.68409438,0.99797053,14,,,
Run # 7,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.161564886,0.946678827,12,,,
1,0.61006546,0.994966501,12,,,
2,0.668543304,0.994966501,14,,,
3,0.637529587,0.961432924,11,,,
4,0.628333411,0.954057631,13,,,
5,0.605504621,0.954121623,13,,,
6,0.623099434,0.954021065,15,,,
7,0.728946181,0.983520036,13,,,
8,0.667357344,0.984911408,13,,,
9,0.660890692,0.997665953,14,,,
10,0.664023093,0.997665953,12,,,
11,0.636333609,0.997665953,12,,,
12,0.492181974,0.997665953,12,,,
13,0.583145873,0.998037167,11,,,
14,0.592910776,0.957161131,11,,,
15,0.707065581,0.994169332,15,,,
16,0.763773763,0.994169332,13,,,
17,0.736464623,0.992027421,13,,,
18,0.656465897,0.990371715,11,,,
19,0.685034477,0.993941675,12,,,
Run # 8,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.083246764,0.908657924,14,,,
1,0.455394012,0.910900165,11,,,
2,0.679509774,0.985306579,16,,,
3,0.592990769,0.982937691,11,,,
4,0.679079196,0.9823275,16,,,
5,0.622297361,0.945862139,12,,,
6,0.515374613,0.950516658,12,,,
7,0.59478776,0.989521179,13,,,
8,0.7611931,0.992434632,14,,,
9,0.660089039,0.99560275,9,,,
10,0.642776299,0.9842061,16,,,
11,0.68354747,0.993799413,9,,,
12,0.679804077,0.993799413,11,,,
13,0.722244498,0.993495982,13,,,
14,0.666792498,0.982383811,11,,,
15,0.693323577,0.982383811,9,,,
16,0.665680584,0.998370413,16,,,
17,0.698271483,0.987520289,14,,,
18,0.718377195,0.986916963,14,,,
19,0.679524058,0.986916963,12,,,
Run # 9,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.087895304,0.674779603,12,,,
1,0.304052616,0.983971098,14,,,
2,0.469947646,0.983971098,6,,,
3,0.61142575,0.993676134,15,,,
4,0.747894567,0.990173198,10,,,
5,0.754542288,0.964871939,13,,,
6,0.689216045,0.966128594,13,,,
7,0.736611179,0.969165413,9,,,
8,0.60587554,0.969165413,13,,,
9,0.67399722,0.988888428,11,,,
10,0.736390216,0.988888428,12,,,
11,0.744007812,0.988246606,13,,,
12,0.714409104,0.98592785,12,,,
13,0.727222827,0.988246606,10,,,
14,0.598633098,0.913050721,11,,,
15,0.583266038,0.970427099,12,,,
16,0.609836297,0.970408534,15,,,
17,0.591705415,0.969425051,16,,,
18,0.629390901,0.978364889,17,,,
19,0.66877896,0.990107033,12,,,
