Run # 0,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.092353664,0.915602182,15,,
1,0.540944462,0.922532081,11,,
2,0.675247556,0.917365548,11,,
3,0.769408139,0.990494625,10,,
4,0.675241313,0.990494625,10,,
5,0.628527935,0.992349389,13,,
6,0.649727245,0.954231333,13,,
7,0.599906758,0.920405687,11,,
8,0.631755406,0.920972294,12,,
9,0.610378838,0.948077744,12,,
10,0.591234891,0.94988819,13,,
11,0.652076478,0.990882353,12,,
12,0.511145131,0.995735744,15,,
13,0.594540907,0.998170453,13,,
14,0.577382979,0.982167968,9,,
15,0.680804792,0.987256293,15,,
16,0.756185781,0.987256293,12,,
17,0.7179585,0.988482526,11,,
18,0.616826088,0.998189496,14,,
19,0.717004007,0.989691233,15,,
20,0.772835932,0.989691233,13,,
21,0.73927889,0.998808546,12,,
22,0.768385362,0.989691233,13,,
23,0.735326452,0.988482526,13,,
24,0.745998403,0.987275148,14,,
25,0.688151694,0.998284712,14,,
26,0.775238634,0.998379936,13,,
27,0.739500659,0.99296518,15,,
28,0.873540825,0.993571832,11,,
29,0.787439326,0.993571832,13,,
30,0.80317215,0.992851469,10,,
31,0.709504401,0.992851469,9,,
32,0.61382528,0.993287422,13,,
33,0.686709795,0.990560813,12,,
34,0.590669405,0.993363258,15,,
35,0.639973988,0.993439099,12,,
36,0.701500983,0.993439099,15,,
37,0.701596339,0.993439099,11,,
38,0.651827987,0.997770642,10,,
39,0.679378075,0.997770642,19,,
Run # 1,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,0.997770642
0,0.092455286,0.998313278,12,,0.97837424
1,0.410948621,0.998313278,14,,0.980114904
2,0.520068751,0.998313278,12,,0.968414669
3,0.67702328,0.998294234,15,,0.998694234
4,0.63783934,0.998951453,13,,0.976160328
5,0.685285824,0.998351368,15,,0.992605137
6,0.596301047,0.998341845,11,,0.994349593
7,0.639600031,0.999532798,11,,0.995555256
8,0.611876446,0.991932742,15,,0.99748515
9,0.69802132,0.992538827,7,,
10,0.752490496,0.988001302,13,,
11,0.723586111,0.988001302,10,,
12,0.734099864,0.98920948,15,,
13,0.742084491,0.98920948,13,,
14,0.761545235,0.993477021,13,,
15,0.662248827,0.974584386,12,,
16,0.695205815,0.974593705,10,,
17,0.720487149,0.964096505,9,,
18,0.75852171,0.992652505,15,,
19,0.760950836,0.99748515,13,,
20,0.653440017,0.982975252,11,,
21,0.724815171,0.987784349,10,,
22,0.767429838,0.98763345,13,,
23,0.710177661,0.983426089,14,,
24,0.733812605,0.980114904,13,,
25,0.624279106,0.980114904,7,,
26,0.633522364,0.98012427,13,,
27,0.569661294,0.98012427,11,,
28,0.726999842,0.979609263,15,,
29,0.70263969,0.983163078,13,,
30,0.650452682,0.997922934,12,,
31,0.673591457,0.984996075,11,,
32,0.631722562,0.990645917,11,,
33,0.697841725,0.984902,12,,
34,0.644683328,0.994719696,14,,
35,0.704511818,0.975264837,12,,
36,0.618503322,0.974789409,15,,
37,0.623811927,0.974789409,16,,
38,0.643544333,0.974789409,15,,
39,0.667369961,0.97837424,14,,
Run # 2,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.134044375,0.879991403,14,,
1,0.535202249,0.997237784,11,,
2,0.48563647,0.886318955,14,,
3,0.62141293,0.921211425,13,,
4,0.537291164,0.921229141,12,,
5,0.55444667,0.921654409,15,,
6,0.664566124,0.998837126,10,,
7,0.718579695,0.997599338,13,,
8,0.662899825,0.993040993,15,,
9,0.598355852,0.977402178,16,,
10,0.544565567,0.998989565,14,,
11,0.587660372,0.997627887,12,,
12,0.635026926,0.989398378,12,,
13,0.625453131,0.989851865,15,,
14,0.601348298,0.999113437,13,,
15,0.728676368,0.999113437,14,,
16,0.683911898,0.99908485,15,,
17,0.754999977,0.99908485,14,,
18,0.887112358,0.999122966,15,,
19,0.746851018,0.998846653,13,,
20,0.614566354,0.9988276,8,,
21,0.741733528,0.999437475,14,,
22,0.751307818,0.999437475,15,,
23,0.838121814,0.999427943,12,,
24,0.752542773,0.993960644,9,,
25,0.717884947,0.992747245,13,,
26,0.769454651,0.961340878,9,,
27,0.733194528,0.98931337,10,,
28,0.523041807,0.915170623,13,,
29,0.672467832,0.994197792,14,,
30,0.6710836,0.999046735,13,,
31,0.649861465,0.999599529,12,,
32,0.736247463,0.999675798,13,,
33,0.727832805,0.999599529,10,,
34,0.737703716,0.999904637,8,,
35,0.731951106,0.999904637,11,,
36,0.630111457,0.937424087,14,,
37,0.621965484,0.980133636,11,,
38,0.756492909,0.980114904,14,,
39,0.645810478,0.980114904,12,,
Run # 3,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.135175715,0.975376733,7,,
1,0.567685898,0.998903816,14,,
2,0.717446568,0.999447007,13,,
3,0.613476856,0.998903816,14,,
4,0.6620989,0.999056263,13,,
5,0.721304848,0.999694866,13,,
6,0.68938811,0.9997044,17,,
7,0.720458312,0.9997044,14,,
8,0.725224224,0.998618032,12,,
9,0.64443449,0.99965673,12,,
10,0.679038649,0.999046735,16,,
11,0.829805919,0.997684987,13,,
12,0.75339107,0.998579934,14,,
13,0.787551122,0.999427943,12,,
14,0.705507766,0.996743217,16,,
15,0.729123358,0.990125937,13,,
16,0.797330262,0.996876348,11,,
17,0.731011623,0.999313567,11,,
18,0.709489403,0.999313567,13,,
19,0.766566494,0.994017555,13,,
20,0.69599011,0.994017555,13,,
21,0.764604002,0.993998585,12,,
22,0.729158733,0.999780677,12,,
23,0.747892676,0.993344298,16,,
24,0.799930064,0.990920188,16,,
25,0.764310374,0.99100532,15,,
26,0.717407868,0.967645931,9,,
27,0.705163089,0.962915969,11,,
28,0.720337085,0.970761323,10,,
29,0.646125239,0.959418915,11,,
30,0.612615315,0.959455666,11,,
31,0.577887977,0.960043862,14,,
32,0.648899297,0.960062249,13,,
33,0.629823858,0.957693023,14,,
34,0.619477094,0.957509582,10,,
35,0.570528014,0.9423576,11,,
36,0.697712404,0.9310104,12,,
37,0.659744704,0.994738679,12,,
38,0.66955333,0.948623279,12,,
39,0.69255869,0.968414669,14,,
Run # 4,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.124470561,0.900840465,8,,
1,0.581827647,0.933768361,10,,
2,0.610423405,0.945707946,15,,
3,0.680082044,0.975731146,12,,
4,0.668406043,0.974537796,9,,
5,0.582147636,0.927297,15,,
6,0.731095279,0.959768105,16,,
7,0.664941457,0.959758914,15,,
8,0.689436251,0.998084767,13,,
9,0.719182433,0.959841633,14,,
10,0.757749704,0.959832442,13,,
11,0.703908583,0.963902734,14,,
12,0.742172621,0.963902734,13,,
13,0.689767364,0.98236504,13,,
14,0.58743278,0.982965861,14,,
15,0.707508068,0.99018265,15,,
16,0.745751274,0.99018265,13,,
17,0.743456585,0.999990463,12,,
18,0.564309737,0.990267726,18,,
19,0.777938082,0.990267726,18,,
20,0.741549416,0.990267726,13,,
21,0.724506878,0.999990463,15,,
22,0.71850966,0.970909899,16,,
23,0.650556,0.980424022,13,,
24,0.683678205,0.998389459,11,,
25,0.703197467,0.998237103,13,,
26,0.678411115,0.966840736,12,,
27,0.645629761,0.969805349,13,,
28,0.556126756,0.983745544,9,,
29,0.612607318,0.98856747,8,,
30,0.651361938,0.964290311,12,,
31,0.692044711,0.977785291,13,,
32,0.739292964,0.973010735,15,,
33,0.680660891,0.968766805,14,,
34,0.697680466,0.965426164,11,,
35,0.669821359,0.965426164,12,,
36,0.670002404,0.986540053,13,,
37,0.72529144,0.988945077,14,,
38,0.702157869,0.9890395,10,,
39,0.710270591,0.998694234,12,,
Run # 5,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.063004614,0.776644049,12,,
1,0.435431714,0.915258682,13,,
2,0.582670405,0.99001252,10,,
3,0.760776465,0.99001252,14,,
4,0.653879339,0.983736147,14,,
5,0.698570182,0.98367037,15,,
6,0.646870836,0.970371406,11,,
7,0.749812873,0.999132495,15,,
8,0.622005573,0.970222903,8,,
9,0.680258676,0.972657211,10,,
10,0.680709506,0.979749695,9,,
11,0.724282526,0.976477658,13,,
12,0.727606496,0.972657211,14,,
13,0.659559607,0.935940486,14,,
14,0.754960915,0.980386549,17,,
15,0.704139559,0.999742538,9,,
16,0.804636108,0.979468849,14,,
17,0.655791885,0.924431844,12,,
18,0.715287875,0.951975418,12,,
19,0.665834547,0.979749695,14,,
20,0.625796053,0.999103908,15,,
21,0.648447792,0.999256383,10,,
22,0.612981367,0.951482861,11,,
23,0.650790636,0.977112597,10,,
24,0.704769418,0.97802831,14,,
25,0.740975192,0.977262049,15,,
26,0.739314768,0.960862362,12,,
27,0.699164659,0.960862362,11,,
28,0.726730417,0.976851107,10,,
29,0.73654503,0.984563399,13,,
30,0.703564641,0.984563399,11,,
31,0.714884334,0.996714691,12,,
32,0.784552381,0.996790762,11,,
33,0.750203966,0.996790762,8,,
34,0.681237007,0.996771743,12,,
35,0.66753057,0.996657641,12,,
36,0.72678236,0.995441279,12,,
37,0.632207055,0.984582207,12,,
38,0.707969759,0.963100342,11,,
39,0.676372385,0.976160328,12,,
Run # 6,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,
0,0.143959724,0.94851415,12,,
1,0.602256816,0.986427005,13,,
2,0.603784203,0.950853818,9,,
3,0.693239511,0.971448662,11,,
4,0.582719964,0.971950511,12,,
5,0.630118628,0.982994033,15,,
6,0.599865897,0.982994033,12,,
7,0.689172544,0.982994033,11,,
8,0.748702994,0.992652505,11,,
9,0.70925519,0.982533988,13,,
10,0.720901852,0.99855136,14,,
11,0.736004537,0.998560885,13,,
12,0.631347412,0.995289328,10,,
13,0.750358023,0.995593251,13,,
14,0.630969569,0.995289328,12,,
15,0.668094565,0.982158584,10,,
16,0.642486555,0.990939105,15,,
17,0.778984845,0.994159845,13,,
18,0.832616642,0.994197792,14,,
19,0.631872131,0.992946227,10,,
20,0.772662673,0.981295646,12,,
21,0.608648828,0.994178818,11,,
22,0.664218827,0.995954269,12,,
23,0.725982549,0.994178818,12,,
24,0.761510052,0.994178818,11,,
25,0.759232177,0.986417585,13,,
26,0.718035937,0.985108975,11,,
27,0.648332952,0.969703305,12,,
28,0.691127793,0.972089954,11,,
29,0.746689536,0.972089954,13,,
30,0.690790918,0.97149512,11,,
31,0.636611262,0.96171832,10,,
32,0.70083053,0.972443293,11,,
33,0.614499778,0.957500411,12,,
34,0.651764776,0.995887757,11,,
35,0.608676691,0.958803515,11,,
36,0.691904458,0.965915968,12,,
37,0.695326122,0.982627859,12,,
38,0.70504832,0.992605137,11,,
39,0.693971363,0.992605137,14,,
Run # 7,,,,,
