Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.08492019,0.800492955,10
1,0.375225978,0.833046672,10
2,0.50057728,0.833046672,11
3,0.560339307,0.815123034,14
4,0.726877784,0.915972236,11
5,0.595917788,0.915972236,12
6,0.662199359,0.915972236,13
7,0.627404515,0.915972236,11
8,0.642599919,0.981023775,9
9,0.695162286,0.982224271,11
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.089396888,0.758225186,7
1,0.361428889,0.75823262,9
2,0.424089763,0.89576615,9
3,0.413683632,0.89576615,9
4,0.485323763,0.896319088,14
5,0.579314383,0.914070537,12
6,0.560452644,0.973913675,11
7,0.545321545,0.929553798,7
8,0.56711403,0.879235175,14
9,0.548154222,0.951300491,10
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.095938216,0.904432257,9
1,0.490736547,0.907984473,10
2,0.602170706,0.922815934,13
3,0.636489491,0.987020636,14
4,0.642684673,0.987162025,15
5,0.637894348,0.987162025,10
6,0.669145637,0.999323098,12
7,0.650552437,0.983134902,15
8,0.691678965,0.984422346,13
9,0.726158272,0.989237812,13
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.065294684,0.399058684,9
1,0.218875625,0.674592211,8
2,0.319474994,0.801383271,10
3,0.430050355,0.859577628,12
4,0.512993702,0.927876339,9
5,0.566527983,0.962501246,12
6,0.597611815,0.941679779,13
7,0.613126868,0.970260027,10
8,0.67477783,0.970250746,12
9,0.618514396,0.989426715,12
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.063493656,0.582768381,11
1,0.301996162,0.973941613,9
2,0.356596529,0.973941613,11
3,0.529470328,0.973969552,14
4,0.640311407,0.993192635,10
5,0.591649485,0.973941613,9
6,0.541835566,0.973941613,11
7,0.626267414,0.923508155,12
8,0.677731838,0.977822675,11
9,0.680380935,0.993183157,11
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.03758889,0.64261328,11
1,0.406411483,0.897270166,9
2,0.464760388,0.897252866,11
3,0.520634335,0.921875972,12
4,0.573287776,0.995897258,13
5,0.598739765,0.995897258,12
6,0.647658835,0.976599015,14
7,0.732131531,0.976608351,14
8,0.589967395,0.995935265,14
9,0.779768927,0.998370413,13
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.140865469,0.880042406,14
1,0.386049978,0.968238645,12
2,0.630589305,0.968238645,13
3,0.660637499,0.983754941,13
4,0.709635677,0.993420138,11
5,0.688365378,0.993420138,12
6,0.762854839,0.974193088,10
7,0.645380108,0.974342137,15
8,0.62297468,0.995783246,13
9,0.666237651,0.974342137,15
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.092266275,0.959372977,14
1,0.356708013,0.960549603,7
2,0.518861444,0.960549603,13
3,0.618379917,0.95997032,10
4,0.618333025,0.961175213,15
5,0.692684127,0.961175213,14
6,0.708404363,0.997599338,11
7,0.736975277,0.997608854,13
8,0.782170556,0.999313567,12
9,0.755085473,0.998094288,12
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.063512368,0.407353901,10
1,0.301145045,0.790210093,7
2,0.412765306,0.792187504,9
3,0.370875936,0.794169367,10
4,0.581626848,0.806044574,13
5,0.615369889,0.925996903,15
6,0.560854144,0.963376961,8
7,0.551545122,0.972861869,8
8,0.572767234,0.903587508,12
9,0.493995263,0.956922783,9
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.099658048,0.920140198,11
1,0.431197031,0.932710872,12
2,0.619756878,0.999933245,16
3,0.690110595,0.997637403,9
4,0.664349576,0.997704021,12
5,0.724738947,0.997627887,11
6,0.612417894,0.958225181,12
7,0.693891004,0.994027041,12
8,0.64849366,0.990400078,11
9,0.715480206,0.990400078,11
