Run # 0
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.05187928170559075,0.5086836119222434,14
1,0.18839863279933314,0.5997462704845214,11
2,0.3200508919834711,0.5997462704845214,10
3,0.41656969331457305,0.9345038616225848,11
4,0.40811486197282937,0.9345038616225848,13
5,0.4452264095570643,0.9608071627914918,11
6,0.541282349212591,0.9713185913363778,12
7,0.6265848708954113,0.9984085048273702,11
8,0.6337390786968289,0.9984085048273702,16
9,0.6655903336750488,0.9984085048273702,13
Run # 1
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07141426208187403,0.669583548972692,9
1,0.3437832696037777,0.8576653573190239,9
2,0.4343125780406476,0.8576238287745789,13
3,0.5607344459785871,0.9210785674852033,13
4,0.6102069524406077,0.9210785674852033,14
5,0.5627921616676127,0.9210785674852033,10
6,0.6061840282339701,0.9224966051481664,15
7,0.5153233976431817,0.9224966051481664,12
8,0.6628178440804878,0.9225498197613219,7
9,0.5681646202954708,0.9240143047058726,12
Run # 2
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.12013873565906893,0.995944766686989,14
1,0.43532214911660627,0.9983799359487523,15
2,0.6145245386232848,0.9986847085886532,13
3,0.7785002415165901,0.9985323118036276,13
4,0.772175059648781,0.9985323118036276,14
5,0.7738435619651969,0.9985323118036276,13
6,0.7933868706380215,0.9985323118036276,12
7,0.8405547299225172,0.9985323118036276,16
8,0.8077309146244119,0.9995804625270941,13
9,0.8034694566094116,0.9995804625270941,9
Run # 3
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.04497849805243212,0.4528383301696924,12
1,0.2556936386517141,0.8259057375192266,10
2,0.36457053052632143,0.9672849070375693,13
3,0.43124107830134933,0.990343353521795,14
4,0.6475466940146667,0.990343353521795,13
5,0.6807289617483698,0.9512640209884843,12
6,0.5200396119381172,0.8982394702673558,9
7,0.6644629665466876,0.9004585622337825,11
8,0.6726635929773863,0.9004585622337825,15
9,0.7174604506111798,0.974276925477642,13
Run # 4
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.020075400137753295,0.3204818436461077,10
1,0.1717366140303793,0.3400874187709994,11
2,0.20482993054322468,0.6305144966424843,10
3,0.40211623942395597,0.6412182395805105,8
4,0.47183543899783076,0.7259720311245641,11
5,0.54595203588212,0.8929630006893389,11
6,0.5624603291047435,0.8929630006893389,10
7,0.5553723480017719,0.9698239032647865,12
8,0.551738140004976,0.9710399209648035,11
9,0.49412888908601954,0.9937994129824356,16
Run # 5
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.08197440356559263,0.572012429144377,14
1,0.39235190811369114,0.6025815172018486,13
2,0.45924628488669744,0.6026419724375873,10
3,0.5024623664733262,0.7362162766899054,10
4,0.4883228890995495,0.8368653901250414,12
5,0.5258203132904347,0.7976639301562567,9
6,0.5930379927176496,0.8063116697099945,9
7,0.6156255693156462,0.9347371779939118,13
8,0.7098175716539956,0.9371451885015011,9
9,0.6392433838301386,0.9746402977189018,10
Run # 6
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.11412807434182447,0.9018219293531827,13
1,0.5711855685608624,0.9018914500075854,13
2,0.6776839889829994,0.9175155745861626,13
3,0.6562497082228336,0.9018219293531827,9
4,0.5585079703676262,0.9750690473923624,12
5,0.7310736583319368,0.9810800185866322,10
6,0.7033996740013897,0.9858525258026969,14
7,0.7184738926020171,0.9858525258026969,11
8,0.5983938819181891,0.9620498421864027,15
9,0.7034028272290485,0.9893228145868708,15
Run # 7
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.12560809858557404,0.9660084091583208,9
1,0.5006826419789853,0.9660084091583208,11
2,0.6636576787841169,0.9663042735708072,13
3,0.6384723353351757,0.9661563311718326,11
4,0.6323075322194357,0.9661563311718326,13
5,0.6109606572396333,0.982139817666646,11
6,0.7524872420772574,0.9732619931506971,13
7,0.6361267533128285,0.9842060995287952,11
8,0.68564190445862,0.9836045961958159,12
9,0.7060352916285716,0.9836045961958159,15
Run # 8
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.07585851581996142,0.7990032811880866,9
1,0.3905695474981441,0.8481284205381096,11
2,0.5411473247572824,0.8496261445704981,13
3,0.578945205949693,0.9362280496032473,11
4,0.4897743069653511,0.9362280496032473,9
5,0.5139343966882117,0.9362550127424267,10
6,0.5914199990735031,0.9362550127424267,13
7,0.6068734227425987,0.9374060912648562,10
8,0.6548846910673779,0.9374060912648562,12
9,0.6522117051788904,0.9374060912648562,13
Run # 9
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.11406697413808257,0.8503594143441326,10
1,0.4499809756332238,0.8505572474925102,12
2,0.5043007578131641,0.8526369978604803,10
3,0.5500174308539421,0.8526369978604803,13
4,0.5548738444060359,0.8539763959146613,9
5,0.5699658880848911,0.9507080058351002,11
6,0.6672044044231568,0.8990970504095769,12
7,0.6977159696914464,0.9762816491408514,11
8,0.6812205337017042,0.9760016975707789,13
9,0.7361388369264985,0.996172836500003,15
