Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.055012668,0.607343892,12
1,0.423968192,0.839069705,10
2,0.503519853,0.982496442,13
3,0.521012708,0.984864373,11
4,0.506992549,0.976617686,13
5,0.666484147,0.97482669,10
6,0.672064655,0.931144546,16
7,0.657977492,0.967210866,12
8,0.62309829,0.96950852,14
9,0.655443623,0.96950852,13
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.077367583,0.971485828,11
1,0.522330421,0.971634505,13
2,0.744255487,0.973978865,16
3,0.723126204,0.984638635,14
4,0.607050395,0.984676254,14
5,0.674886381,0.981192515,15
6,0.701290142,0.995004475,13
7,0.705154592,0.992576718,14
8,0.758181882,0.992576718,14
9,0.798040827,0.990570269,12
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.073810958,0.625238788,12
1,0.229580304,0.854481228,12
2,0.275683876,0.854481228,11
3,0.491429804,0.976785744,13
4,0.625716431,0.976486993,9
5,0.71512757,0.976636358,9
6,0.704399558,0.978879307,13
7,0.696841922,0.978879307,10
8,0.713993335,0.976645694,11
9,0.64924829,0.971857558,12
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.061829766,0.628992307,7
1,0.394568384,0.986879267,7
2,0.49755658,0.88318419,7
3,0.494694626,0.740950033,10
4,0.53311999,0.866938008,11
5,0.500761789,0.884267841,11
6,0.534981477,0.884506918,9
7,0.533482931,0.980714486,12
8,0.621351388,0.962215642,10
9,0.667349911,0.990352807,7
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.052835664,0.972759535,14
1,0.40594526,0.976617686,13
2,0.639097496,0.972778141,13
3,0.786588253,0.982487055,13
4,0.880861867,0.992141046,13
5,0.712414557,0.991838071,12
6,0.691196702,0.991838071,10
7,0.614108524,0.984892593,14
8,0.603810315,0.984892593,13
9,0.639384936,0.972694419,12
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.086293076,0.852827044,12
1,0.346032056,0.852827044,6
2,0.558636632,0.998313278,9
3,0.641862554,0.997608854,12
4,0.660432388,0.997608854,12
5,0.657253741,0.97702854,10
6,0.589524274,0.979422048,10
7,0.594198802,0.995355804,11
8,0.681129344,0.995355804,11
9,0.670260003,0.995355804,11
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.076862456,0.747756919,11
1,0.399000147,0.961018776,10
2,0.526319837,0.961018776,15
3,0.603674632,0.961018776,18
4,0.68978528,0.961018776,15
5,0.575314417,0.961018776,17
6,0.773397265,0.961018776,15
7,0.781078496,0.961018776,18
8,0.730310783,0.999361222,15
9,0.613267122,0.999037206,15
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.050850107,0.485106713,12
1,0.264738937,0.704092105,11
2,0.369739795,0.691694196,14
3,0.410497376,0.691694196,12
4,0.445181817,0.875251303,12
5,0.463290973,0.875251303,12
6,0.500435012,0.930947804,12
7,0.63337088,0.926352931,14
8,0.667951247,0.928670115,11
9,0.583181696,0.928099248,11
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.059269352,0.706795114,13
1,0.500689041,0.972992126,13
2,0.575879959,0.974183773,11
3,0.60559166,0.974183773,14
4,0.620556095,0.991175604,11
5,0.796922857,0.991175604,9
6,0.732078664,0.991781273,13
7,0.898599249,0.991781273,13
8,0.660963019,0.99100532,12
9,0.719697495,0.99122291,13
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.081475374,0.980358444,14
1,0.489996908,0.987850374,15
2,0.62762873,0.9801992,15
3,0.68571867,0.983773736,15
4,0.693135751,0.988916752,15
5,0.800108188,0.982618471,8
6,0.749623119,0.987435427,9
7,0.75155569,0.998665658,13
8,0.671387905,0.996220357,11
9,0.71221545,0.993799413,12
