Run # 0,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.055012988,0.60734916,16,,,
1,0.363210106,0.801451063,19,,,
2,0.487579765,0.682244326,17,,,
3,0.494701374,0.69668514,20,,,
4,0.528850123,0.696681696,17,,,
5,0.559918578,0.957155311,19,,,
6,0.603563751,0.884578355,18,,,
7,0.607777436,0.880215539,19,,,
8,0.612992812,0.8428641,17,,,
9,0.616902473,0.842861049,21,,,
Run # 1,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.124430501,0.801459992,16,,,
1,0.45439229,0.969507632,11,,,
2,0.564677851,0.979045622,20,,,
3,0.526458781,0.979120506,19,,,
4,0.603442794,0.979139221,15,,,
5,0.497715066,0.804716716,18,,,
6,0.498644276,0.812277716,16,,,
7,0.585971776,0.94050258,17,,,
8,0.634140898,0.989595583,15,,,
9,0.725212729,0.989595583,14,,,
Run # 2,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.033561607,0.398154176,14,,,
1,0.180993352,0.403434561,15,,,
2,0.27010922,0.772528894,18,,,
3,0.340157225,0.916790233,19,,,
4,0.431769242,0.916649131,16,,,
5,0.5359099,0.923747602,15,,,
6,0.555342798,0.979899043,13,,,
7,0.58694667,0.994072135,16,,,
8,0.646326174,0.994072097,20,,,
9,0.680947953,0.919890372,20,,,
Run # 3,,,,,,0.842861049
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,0.989595583
0,0.026020614,0.342683731,13,,,0.919890372
1,0.202705548,0.67137511,13,,,0.998250251
2,0.329393579,0.685845979,10,,,0.965453306
3,0.400899025,0.789217538,14,,,0.969948412
4,0.499447838,0.926649373,16,,,0.969419092
5,0.496921328,0.926649338,20,,,0.999564189
6,0.513624934,0.961970531,19,,,0.955256674
7,0.558217337,0.966785065,16,,,0.834038391
8,0.592779754,0.966696486,11,,,
9,0.657898519,0.998250251,14,,,
Run # 4,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.125296757,0.699847186,18,,,
1,0.383762387,0.965323452,15,,,
2,0.522861269,0.965323452,21,,,
3,0.643822263,0.965324463,18,,,
4,0.586655618,0.965351827,17,,,
5,0.618765217,0.96536094,20,,,
6,0.681158222,0.96536094,16,,,
7,0.686321783,0.965359785,15,,,
8,0.714254283,0.965304903,13,,,
9,0.660415596,0.965453306,17,,,
Run # 5,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.080400361,0.670917593,17,,,
1,0.361915555,0.794843187,17,,,
2,0.518849541,0.923985612,24,,,
3,0.588253737,0.92370199,14,,,
4,0.63605247,0.931465913,17,,,
5,0.638478748,0.932038644,22,,,
6,0.730819721,0.932038661,18,,,
7,0.698620191,0.932107958,22,,,
8,0.711247383,0.968761429,18,,,
9,0.666086214,0.969948412,20,,,
Run # 6,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.067895716,0.598903272,14,,,
1,0.328175933,0.600189508,15,,,
2,0.37193191,0.70487148,18,,,
3,0.421335637,0.610155611,13,,,
4,0.455816797,0.705888176,14,,,
5,0.507101156,0.828776122,18,,,
6,0.527829264,0.828260831,13,,,
7,0.469992786,0.970589221,15,,,
8,0.491578662,0.970606945,12,,,
9,0.472259444,0.969419092,11,,,
Run # 7,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.056608458,0.48228337,20,,,
1,0.35312234,0.484924166,19,,,
2,0.405584596,0.706562512,18,,,
3,0.43655688,0.706562512,16,,,
4,0.404779269,0.678501408,16,,,
5,0.455233932,0.79286835,14,,,
6,0.45837625,0.923317868,16,,,
7,0.488237334,0.986809407,17,,,
8,0.536081887,0.987110999,15,,,
9,0.537067222,0.999564189,17,,,
Run # 8,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.14580162,0.875626587,13,,,
1,0.621818484,0.96234807,16,,,
2,0.693909009,0.952607144,18,,,
3,0.666376289,0.956726444,15,,,
4,0.687891487,0.985246,16,,,
5,0.711701215,0.990999398,17,,,
6,0.81875425,0.982869577,17,,,
7,0.784377818,0.954234414,16,,,
8,0.778757232,0.955256639,17,,,
9,0.676769152,0.955256674,18,,,
Run # 9,,,,,,
Generation #, Average Fitness, BestFitness, CorrectBits # ,,,
0,0.078791686,0.600496673,13,,,
1,0.242289911,0.602465274,10,,,
2,0.35575466,0.956498806,15,,,
3,0.471204391,0.956543268,15,,,
4,0.508785063,0.956398389,22,,,
5,0.472417402,0.829901294,18,,,
6,0.513461398,0.829909153,17,,,
7,0.49395143,0.831967697,16,,,
8,0.474051328,0.834038391,14,,,
9,0.535314314,0.834038391,14,,,
